move_number,piece,from_square,to_square,is_capture,is_check,is_castle,fen,material_balance,developed_pieces,pst_score,opponent_threats,label,prev_1_piece,prev_1_is_capture,prev_2_piece,prev_2_is_capture
17,2,21,27,True,True,False,rn1qk2r/ppp2ppp/3p1n2/8/2BbPBb1/5N2/PPP3PP/RN2QRK1 w kq - 0 9,-1,6,-5,34,inaccuracy,5.0,False,3.0,True
18,6,60,62,False,False,True,rn1qk2r/ppp2ppp/3p1n2/8/2BNPBb1/8/PPP3PP/RN2QRK1 b kq - 0 9,2,5,-5,38,good,3.0,True,2.0,True
19,3,29,38,False,False,False,rn1q1rk1/ppp2ppp/3p1n2/8/2BNPBb1/8/PPP3PP/RN2QRK1 w - - 1 10,2,5,-5,33,inaccuracy,2.0,True,6.0,False
20,1,55,47,False,False,False,rn1q1rk1/ppp2ppp/3p1n2/6B1/2BNP1b1/8/PPP3PP/RN2QRK1 b - - 2 10,2,5,-5,36,good,6.0,False,3.0,False
21,3,38,45,True,False,False,rn1q1rk1/ppp2pp1/3p1n1p/6B1/2BNP1b1/8/PPP3PP/RN2QRK1 w - - 0 11,2,5,-5,34,good,3.0,False,1.0,False
22,1,54,45,True,False,False,rn1q1rk1/ppp2pp1/3p1B1p/8/2BNP1b1/8/PPP3PP/RN2QRK1 b - - 0 11,5,4,-35,41,inaccuracy,1.0,False,3.0,True
23,5,4,22,False,False,False,rn1q1rk1/ppp2p2/3p1p1p/8/2BNP1b1/8/PPP3PP/RN2QRK1 w - - 0 12,2,3,5,30,good,3.0,True,1.0,True
24,1,43,35,False,False,False,rn1q1rk1/ppp2p2/3p1p1p/8/2BNP1b1/6Q1/PPP3PP/RN3RK1 b - - 1 12,2,3,5,35,good,1.0,True,5.0,False
25,5,22,30,True,False,False,rn1q1rk1/ppp2p2/5p1p/3p4/2BNP1b1/6Q1/PPP3PP/RN3RK1 w - - 0 13,2,3,5,32,inaccuracy,5.0,False,1.0,False
26,6,62,55,False,True,False,rn1q1rk1/ppp2p2/5p1p/3p4/2BNP1Q1/8/PPP3PP/RN3RK1 b - - 0 13,5,2,5,38,good,1.0,False,5.0,True
27,3,26,19,False,False,False,rn1q1r2/ppp2p1k/5p1p/3p4/2BNP1Q1/8/PPP3PP/RN3RK1 w - - 1 14,5,2,5,26,good,5.0,True,6.0,False
28,1,35,28,True,False,False,rn1q1r2/ppp2p1k/5p1p/3p4/3NP1Q1/3B4/PPP3PP/RN3RK1 b - - 2 14,5,2,5,39,good,6.0,False,3.0,False
29,3,19,28,True,False,False,rn1q1r2/ppp2p1k/5p1p/8/3Np1Q1/3B4/PPP3PP/RN3RK1 w - - 0 15,4,2,-5,27,blunder,3.0,False,1.0,True
30,6,55,63,False,True,False,rn1q1r2/ppp2p1k/5p1p/8/3NB1Q1/8/PPP3PP/RN3RK1 b - - 0 15,5,2,0,39,inaccuracy,1.0,True,3.0,True
31,5,30,39,False,False,False,rn1q1r1k/ppp2p2/5p1p/8/3NB1Q1/8/PPP3PP/RN3RK1 w - - 1 16,5,2,0,25,blunder,3.0,True,6.0,False
32,5,59,27,True,False,False,rn1q1r1k/ppp2p2/5p1p/7Q/3NB3/8/PPP3PP/RN3RK1 b - - 2 16,5,2,0,39,good,6.0,False,5.0,False
33,6,6,7,False,True,False,rn3r1k/ppp2p2/5p1p/7Q/3qB3/8/PPP3PP/RN3RK1 w - - 0 17,2,1,30,34,inaccuracy,5.0,False,5.0,True
34,5,27,28,True,False,False,rn3r1k/ppp2p2/5p1p/7Q/3qB3/8/PPP3PP/RN3R1K b - - 1 17,2,1,30,37,good,5.0,True,6.0,False
35,2,1,11,False,False,False,rn3r1k/ppp2p2/5p1p/7Q/4q3/8/PPP3PP/RN3R1K w - - 0 18,-1,0,30,37,blunder,6.0,False,5.0,True
36,5,28,46,False,False,False,rn3r1k/ppp2p2/5p1p/7Q/4q3/8/PPPN2PP/R4R1K b - - 1 18,-1,1,40,36,good,5.0,True,2.0,False
37,5,39,21,False,False,False,rn3r1k/ppp2p2/5pqp/7Q/8/8/PPPN2PP/R4R1K w - - 2 19,-1,1,40,29,inaccuracy,2.0,False,5.0,False
38,2,57,42,False,False,False,rn3r1k/ppp2p2/5pqp/8/8/5Q2/PPPN2PP/R4R1K b - - 3 19,-1,1,40,31,good,5.0,False,5.0,False
39,5,21,45,True,False,False,r4r1k/ppp2p2/2n2pqp/8/8/5Q2/PPPN2PP/R4R1K w - - 4 20,-1,2,30,34,good,5.0,False,2.0,False
40,5,46,45,True,True,False,r4r1k/ppp2p2/2n2Qqp/8/8/8/PPPN2PP/R4R1K b - - 0 20,0,2,40,38,good,2.0,False,5.0,True
41,4,5,45,True,False,False,r4r1k/ppp2p2/2n2q1p/8/8/8/PPPN2PP/R4R1K w - - 0 21,-9,2,40,33,good,5.0,True,5.0,True
42,6,63,54,False,False,False,r4r1k/ppp2p2/2n2R1p/8/8/8/PPPN2PP/R6K b - - 0 21,0,2,40,28,good,5.0,True,4.0,True
43,4,0,5,False,False,False,r4r2/ppp2pk1/2n2R1p/8/8/8/PPPN2PP/R6K w - - 1 22,0,2,40,25,inaccuracy,4.0,True,6.0,False
44,2,42,27,False,False,False,r4r2/ppp2pk1/2n2R1p/8/8/8/PPPN2PP/5R1K b - - 2 22,0,2,40,29,good,6.0,False,4.0,False
45,1,10,18,False,False,False,r4r2/ppp2pk1/5R1p/8/3n4/8/PPPN2PP/5R1K w - - 3 23,0,2,40,26,good,4.0,False,2.0,False
46,2,27,44,False,False,False,r4r2/ppp2pk1/5R1p/8/3n4/2P5/PP1N2PP/5R1K b - - 0 23,0,2,40,32,good,2.0,False,1.0,False
47,2,11,28,False,False,False,r4r2/ppp2pk1/4nR1p/8/8/2P5/PP1N2PP/5R1K w - - 1 24,0,2,40,25,good,1.0,False,2.0,False
48,4,56,59,False,False,False,r4r2/ppp2pk1/4nR1p/8/4N3/2P5/PP4PP/5R1K b - - 2 24,0,2,40,30,good,2.0,False,2.0,False
49,2,28,34,False,False,False,3r1r2/ppp2pk1/4nR1p/8/4N3/2P5/PP4PP/5R1K w - - 3 25,0,2,40,29,blunder,2.0,False,4.0,False
50,2,44,34,True,False,False,3r1r2/ppp2pk1/4nR1p/2N5/8/2P5/PP4PP/5R1K b - - 4 25,0,2,40,32,good,4.0,False,2.0,False
51,1,9,25,False,False,False,3r1r2/ppp2pk1/5R1p/2n5/8/2P5/PP4PP/5R1K w - - 0 26,-3,1,70,29,inaccuracy,2.0,False,2.0,True
52,2,34,19,False,False,False,3r1r2/ppp2pk1/5R1p/2n5/1P6/2P5/P5PP/5R1K b - - 0 26,-3,1,70,30,good,2.0,True,1.0,False
53,1,8,16,False,False,False,3r1r2/ppp2pk1/5R1p/8/1P6/2Pn4/P5PP/5R1K w - - 1 27,-3,1,70,31,inaccuracy,1.0,False,2.0,False
54,2,19,9,False,False,False,3r1r2/ppp2pk1/5R1p/8/1P6/P1Pn4/6PP/5R1K b - - 0 27,-3,1,70,29,good,2.0,False,1.0,False
55,4,45,21,False,False,False,3r1r2/ppp2pk1/5R1p/8/1P6/P1P5/1n4PP/5R1K w - - 1 28,-3,1,80,27,good,1.0,False,2.0,False
56,2,9,26,False,False,False,3r1r2/ppp2pk1/7p/8/1P6/P1P2R2/1n4PP/5R1K b - - 2 28,-3,1,80,25,good,2.0,False,4.0,False
57,4,21,22,False,False,False,3r1r2/ppp2pk1/7p/8/1Pn5/P1P2R2/6PP/5R1K w - - 3 29,-3,1,70,30,good,4.0,False,2.0,False
58,6,54,55,False,True,False,3r1r2/ppp2pk1/7p/8/1Pn5/P1P3R1/6PP/5R1K b - - 4 29,-3,1,70,28,good,2.0,False,4.0,False
59,4,5,45,False,False,False,3r1r2/ppp2p1k/7p/8/1Pn5/P1P3R1/6PP/5R1K w - - 5 30,-3,1,70,29,blunder,4.0,False,6.0,False
60,4,59,3,False,False,False,3r1r2/ppp2p1k/5R1p/8/1Pn5/P1P3R1/6PP/7K b - - 6 30,-3,1,70,29,good,6.0,False,4.0,False
1,1,12,28,False,False,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,0,0,22,good,,,,
2,1,52,36,False,False,False,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,0,0,29,good,1.0,False,,
3,2,6,21,False,False,False,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0,0,0,29,good,1.0,False,1.0,False
4,1,53,45,False,False,False,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,0,1,10,31,good,1.0,False,2.0,False
5,1,11,27,False,False,False,rnbqkbnr/pppp2pp/5p2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,0,1,10,29,inaccuracy,2.0,False,1.0,False
6,1,36,27,True,False,False,rnbqkbnr/pppp2pp/5p2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,0,1,10,34,good,1.0,False,1.0,False
7,2,21,27,True,False,False,rnbqkbnr/pppp2pp/5p2/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,-1,1,15,29,good,1.0,False,1.0,True
8,1,50,34,False,False,False,rnbqkbnr/pppp2pp/5p2/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,0,1,15,35,good,1.0,True,2.0,True
9,2,27,21,False,False,False,rnbqkbnr/pp1p2pp/5p2/2p5/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,0,1,15,28,inaccuracy,2.0,True,1.0,False
10,1,51,43,False,False,False,rnbqkbnr/pp1p2pp/5p2/2p5/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 5,0,1,15,35,good,1.0,False,2.0,False
11,2,1,18,False,False,False,rnbqkbnr/pp4pp/3p1p2/2p5/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 6,0,1,15,31,inaccuracy,2.0,False,1.0,False
12,2,57,42,False,False,False,rnbqkbnr/pp4pp/3p1p2/2p5/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 6,0,2,25,36,good,1.0,False,2.0,False
13,1,8,16,False,False,False,r1bqkbnr/pp4pp/2np1p2/2p5/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 2 7,0,3,15,31,inaccuracy,2.0,False,2.0,False
14,3,58,30,False,False,False,r1bqkbnr/pp4pp/2np1p2/2p5/4P3/P1N2N2/1PP2PPP/R1BQKB1R b KQkq - 0 7,0,3,15,37,good,2.0,False,1.0,False
15,2,18,35,False,False,False,r2qkbnr/pp4pp/2np1p2/2p5/4P1b1/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 1 8,0,4,15,32,inaccuracy,1.0,False,3.0,False
16,5,59,51,False,False,False,r2qkbnr/pp4pp/2np1p2/2pN4/4P1b1/P4N2/1PP2PPP/R1BQKB1R b KQkq - 2 8,0,4,15,38,good,3.0,False,2.0,False
17,1,15,23,False,False,False,r3kbnr/pp1q2pp/2np1p2/2pN4/4P1b1/P4N2/1PP2PPP/R1BQKB1R w KQkq - 3 9,0,4,15,33,good,2.0,False,5.0,False
18,3,30,39,False,False,False,r3kbnr/pp1q2pp/2np1p2/2pN4/4P1b1/P4N1P/1PP2PP1/R1BQKB1R b KQkq - 0 9,0,4,15,39,good,5.0,False,1.0,False
19,1,14,30,False,False,False,r3kbnr/pp1q2pp/2np1p2/2pN3b/4P3/P4N1P/1PP2PP1/R1BQKB1R w KQkq - 1 10,0,4,15,32,blunder,1.0,False,3.0,False
20,3,39,46,False,False,False,r3kbnr/pp1q2pp/2np1p2/2pN3b/4P1P1/P4N1P/1PP2P2/R1BQKB1R b KQkq - 0 10,0,4,15,40,good,3.0,False,1.0,False
21,3,5,33,False,False,False,r3kbnr/pp1q2pp/2np1pb1/2pN4/4P1P1/P4N1P/1PP2P2/R1BQKB1R w KQkq - 1 11,0,4,15,32,inaccuracy,1.0,False,3.0,False
22,1,48,40,False,False,False,r3kbnr/pp1q2pp/2np1pb1/1BpN4/4P1P1/P4N1P/1PP2P2/R1BQK2R b KQkq - 2 11,0,5,15,40,good,3.0,False,3.0,False
23,2,35,41,False,False,False,r3kbnr/1p1q2pp/p1np1pb1/1BpN4/4P1P1/P4N1P/1PP2P2/R1BQK2R w KQkq - 0 12,0,5,15,32,good,3.0,False,1.0,False
24,4,56,57,False,False,False,r3kbnr/1p1q2pp/pNnp1pb1/1Bp5/4P1P1/P4N1P/1PP2P2/R1BQK2R b KQkq - 1 12,0,5,5,40,good,1.0,False,2.0,False
25,2,41,51,True,False,False,1r2kbnr/1p1q2pp/pNnp1pb1/1Bp5/4P1P1/P4N1P/1PP2P2/R1BQK2R w KQk - 2 13,0,5,5,33,good,2.0,False,4.0,False
26,6,60,51,True,False,False,1r2kbnr/1p1N2pp/p1np1pb1/1Bp5/4P1P1/P4N1P/1PP2P2/R1BQK2R b KQk - 0 13,9,5,15,42,good,4.0,False,2.0,True
27,3,33,26,False,False,False,1r3bnr/1p1k2pp/p1np1pb1/1Bp5/4P1P1/P4N1P/1PP2P2/R1BQK2R w KQ - 0 14,6,4,45,31,inaccuracy,2.0,True,6.0,True
28,3,46,28,True,False,False,1r3bnr/1p1k2pp/p1np1pb1/2p5/2B1P1P1/P4N1P/1PP2P2/R1BQK2R b KQ - 1 14,6,4,45,38,good,6.0,True,3.0,False
29,5,3,12,False,False,False,1r3bnr/1p1k2pp/p1np1p2/2p5/2B1b1P1/P4N1P/1PP2P2/R1BQK2R w KQ - 0 15,5,4,40,32,inaccuracy,3.0,False,3.0,True
30,1,43,35,False,False,False,1r3bnr/1p1k2pp/p1np1p2/2p5/2B1b1P1/P4N1P/1PP1QP2/R1B1K2R b KQ - 1 15,5,4,40,39,good,3.0,True,5.0,False
31,3,26,35,True,False,False,1r3bnr/1p1k2pp/p1n2p2/2pp4/2B1b1P1/P4N1P/1PP1QP2/R1B1K2R w KQ - 0 16,5,4,40,34,inaccuracy,5.0,False,1.0,False
32,2,62,52,False,False,False,1r3bnr/1p1k2pp/p1n2p2/2pB4/4b1P1/P4N1P/1PP1QP2/R1B1K2R b KQ - 0 16,6,4,40,39,good,1.0,False,3.0,True
33,3,35,28,True,False,False,1r3b1r/1p1kn1pp/p1n2p2/2pB4/4b1P1/P4N1P/1PP1QP2/R1B1K2R w KQ - 1 17,6,5,30,31,good,3.0,True,2.0,False
1,2,6,21,False,False,False,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0,0,0,22,good,,,,
2,1,52,44,False,False,False,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0,1,10,26,good,2.0,False,,
3,1,11,27,False,False,False,rnbqkbnr/pppp1ppp/4p3/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,0,1,10,29,good,2.0,False,1.0,False
4,1,51,35,False,False,False,rnbqkbnr/pppp1ppp/4p3/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,0,1,10,29,good,1.0,False,1.0,False
5,1,14,22,False,False,False,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,0,1,10,31,good,1.0,False,1.0,False
6,2,62,45,False,False,False,rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,0,1,10,29,good,1.0,False,1.0,False
7,3,5,14,False,False,False,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 1 4,0,2,0,31,good,1.0,False,2.0,False
8,3,61,43,False,False,False,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 2 4,0,3,0,29,good,2.0,False,3.0,False
9,1,10,26,False,False,False,rnbqk2r/ppp2ppp/3bpn2/3p4/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 3 5,0,4,0,33,good,3.0,False,3.0,False
10,3,43,25,False,False,False,rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 0 5,0,4,0,32,good,3.0,False,1.0,False
11,3,2,11,False,True,False,rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 1 6,0,4,0,33,inaccuracy,1.0,False,3.0,False
12,3,25,11,True,False,False,rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5NP1/PP1BPPBP/RN1QK2R b KQkq - 2 6,0,5,0,32,good,3.0,False,3.0,False
13,2,1,11,True,True,False,rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1bPPBP/RN1QK2R w KQkq - 0 7,-3,4,0,35,good,3.0,False,3.0,True
14,6,60,62,False,False,True,rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R2QK2R b KQkq - 0 7,0,4,10,33,good,3.0,True,2.0,True
15,6,4,6,False,False,True,rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R2QK2R w KQ - 1 8,0,4,10,29,good,2.0,True,6.0,False
16,1,50,42,False,False,False,rnbq1rk1/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R2Q1RK1 b - - 2 8,0,4,10,34,good,6.0,False,6.0,False
17,5,3,10,False,False,False,rnbq1rk1/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PP1NPPBP/R2Q1RK1 w - - 0 9,0,4,10,31,good,6.0,False,1.0,False
18,1,35,26,True,False,False,rnbq1rk1/pp3ppp/2p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R4RK1 b - - 1 9,0,4,10,36,good,1.0,False,5.0,False
19,2,11,26,True,False,False,rnbq1rk1/pp3ppp/2p1pn2/8/2pP4/5NP1/PPQNPPBP/R4RK1 w - - 0 10,-1,4,0,33,good,5.0,False,1.0,True
20,1,49,33,False,False,False,rnbq1rk1/pp3ppp/2p1pn2/8/2NP4/5NP1/PPQ1PPBP/R4RK1 b - - 0 10,0,4,5,38,good,1.0,True,2.0,True
21,2,26,36,False,False,False,rnbq1rk1/p4ppp/2p1pn2/1p6/2NP4/5NP1/PPQ1PPBP/R4RK1 w - - 0 11,0,4,5,33,good,2.0,True,1.0,False
22,2,57,40,False,False,False,rnbq1rk1/p4ppp/2p1pn2/1p2N3/3P4/5NP1/PPQ1PPBP/R4RK1 b - - 1 11,0,4,5,39,good,1.0,False,2.0,False
23,2,36,42,True,False,False,r1bq1rk1/p4ppp/n1p1pn2/1p2N3/3P4/5NP1/PPQ1PPBP/R4RK1 w - - 2 12,0,5,15,34,good,2.0,False,2.0,False
24,5,59,43,False,False,False,r1bq1rk1/p4ppp/n1N1pn2/1p6/3P4/5NP1/PPQ1PPBP/R4RK1 b - - 0 12,1,5,20,42,good,2.0,False,2.0,True
25,1,8,16,False,False,False,r1b2rk1/p4ppp/n1Nqpn2/1p6/3P4/5NP1/PPQ1PPBP/R4RK1 w - - 1 13,1,5,20,36,inaccuracy,2.0,True,5.0,False
26,3,58,49,False,False,False,r1b2rk1/p4ppp/n1Nqpn2/1p6/3P4/P4NP1/1PQ1PPBP/R4RK1 b - - 0 13,1,5,20,42,good,5.0,False,1.0,False
27,2,21,36,False,False,False,r4rk1/pb3ppp/n1Nqpn2/1p6/3P4/P4NP1/1PQ1PPBP/R4RK1 w - - 1 14,1,6,20,36,good,1.0,False,3.0,False
28,4,56,58,False,False,False,r4rk1/pb3ppp/n1Nqpn2/1p2N3/3P4/P5P1/1PQ1PPBP/R4RK1 b - - 2 14,1,6,20,45,good,3.0,False,2.0,False
29,4,0,2,False,False,False,2r2rk1/pb3ppp/n1Nqpn2/1p2N3/3P4/P5P1/1PQ1PPBP/R4RK1 w - - 3 15,1,6,20,33,good,2.0,False,4.0,False
30,2,45,30,False,False,False,2r2rk1/pb3ppp/n1Nqpn2/1p2N3/3P4/P5P1/1PQ1PPBP/2R2RK1 b - - 4 15,1,6,20,45,good,4.0,False,4.0,False
31,2,36,30,True,False,False,2r2rk1/pb3ppp/n1Nqp3/1p2N3/3P2n1/P5P1/1PQ1PPBP/2R2RK1 w - - 5 16,1,6,30,33,good,4.0,False,2.0,False
32,4,58,42,True,False,False,2r2rk1/pb3ppp/n1Nqp3/1p6/3P2N1/P5P1/1PQ1PPBP/2R2RK1 b - - 0 16,4,5,-20,44,good,2.0,False,2.0,True
33,3,14,42,True,False,False,5rk1/pb3ppp/n1rqp3/1p6/3P2N1/P5P1/1PQ1PPBP/2R2RK1 w - - 0 17,1,4,10,35,good,2.0,True,4.0,True
34,3,49,42,True,False,False,5rk1/pb3ppp/n1Bqp3/1p6/3P2N1/P5P1/1PQ1PP1P/2R2RK1 b - - 0 17,6,4,10,41,good,4.0,True,3.0,True
35,5,10,42,True,False,False,5rk1/p4ppp/n1bqp3/1p6/3P2N1/P5P1/1PQ1PP1P/2R2RK1 w - - 0 18,3,3,10,37,good,3.0,True,3.0,True
36,5,43,42,True,False,False,5rk1/p4ppp/n1Qqp3/1p6/3P2N1/P5P1/1P2PP1P/2R2RK1 b - - 0 18,6,2,10,39,good,3.0,True,5.0,True
